class,accuracy,freq
age,0.44,27
boolean,0.95,269
category,0.6,1437
company,0.21,726
coordinates,0.77,191
country,0.43,413
creativework,0.82,1147
currency,0.91,280
date,0.83,867
email,0.97,140
event,0.51,422
gender,0.67,183
jobposting,0.77,13
jobrequirements,0.01,167
language,0.77,252
number,0.61,1417
organization,0.37,758
person,0.67,606
price,0.55,574
product,0.63,622
sportsteam,0.69,51
streetaddress,0.89,704
telephone,0.94,474
text,0.36,1289
time,0.84,807
url,0.85,460
weight,0.62,547
zipcode,0.61,197
