class,accuracy,freq
age,0.74,27
boolean,0.98,269
category,0.15,1437
company,0.52,726
coordinates,0.0,191
country,0.78,413
creativework,0.77,1147
currency,0.97,280
date,0.63,867
email,0.66,140
event,0.73,422
gender,0.99,183
jobposting,0.92,13
jobrequirements,0.01,167
language,1.0,252
number,0.65,1417
organization,0.33,758
person,0.71,606
price,0.39,574
product,0.63,622
sportsteam,0.82,51
streetaddress,0.53,704
telephone,0.89,474
text,0.44,1289
time,0.75,807
url,0.85,460
weight,0.65,547
zipcode,0.58,197
