class,accuracy,freq
age,1.0,27
boolean,0.95,269
category,0.14,1437
company,0.51,726
coordinates,0.99,191
country,0.74,413
creativework,0.44,1147
currency,0.97,280
date,0.55,867
email,0.35,140
event,0.9,422
gender,0.49,183
jobposting,0.62,13
jobrequirements,0.0,167
language,0.98,252
number,0.5,1417
organization,0.36,758
person,0.79,606
price,0.58,574
product,0.63,622
sportsteam,0.86,51
streetaddress,0.76,704
telephone,0.92,474
text,0.29,1289
time,0.71,807
url,0.91,460
weight,0.66,547
zipcode,0.14,197
